GEOID20,District
42001000010,13
42001000100,13
42001000090,13
42133000728,11
42001000110,13
42001000120,13
42001000140,13
42001000130,13
42001000150,13
42001000160,13
42001000170,13
42001000180,13
42001000190,13
42001000020,13
42001000200,13
42001000210,13
42001000230,13
42001000240,13
42001000260,13
42001000270,13
42001000280,13
42001000290,13
42001000030,13
42001000310,13
42001000320,13
42001000330,13
42001000340,13
42001000350,13
42001000360,13
42001000370,13
42001000380,13
42001000385,13
42001000390,13
42001000040,13
42001000400,13
42001000425,13
42001000410,13
42001000427,13
42001000432,13
42001000436,13
42001000434,13
42001000440,13
42001000450,13
42001000460,13
42001000480,13
42001000490,13
42001000050,13
42001000060,13
42001000070,13
42001000082,13
42001000078,13
42003000010,17
42003001000,17
42003000101,17
42003001011,17
42003001021,17
42003001031,17
42003001041,17
42003001051,17
42003001061,17
42003001068,17
42003001073,17
42003001080,12
42003001091,17
42003001101,17
42003000111,17
42003001110,17
42003001140,17
42003001120,17
42003001130,17
42003001150,12
42003003031,12
42003001160,12
42003001170,12
42003001180,12
42003005795,17
42003005812,17
42003005805,17
42003001190,12
42003005815,17
42003001200,12
42003000121,17
42003001210,12
42003001220,12
42003001230,12
42003001240,12
42003001250,12
42003001260,12
42003001324,17
42003001322,17
42003001326,17
42003001282,17
4200300F437,17
42003001292,17
4200300E376,17
42003001302,17
42003000130,17
42003001331,17
42003001341,17
42003001351,17
42003001371,17
42003001381,17
42003001390,17
42003000140,17
42003001400,17
42003001411,17
42003001420,17
42003001440,17
42003001451,17
42003001471,17
42003001490,17
42003001500,17
42003000151,12
42003001510,17
42003001520,17
42003001541,17
42003001550,17
42003001561,17
42003001570,17
42003001580,17
42003001590,17
42003001600,17
42003000161,12
4200300D690,12
42003001610,17
42003001630,17
42003001641,12
42003001660,12
42003001670,12
42003001680,12
42003001690,12
42003001700,12
42003001730,12
42003000171,12
42003001710,12
42003001740,12
42003001750,12
42003001770,12
42003001780,12
42003001790,12
42003000181,12
42003001811,17
42003001831,17
42003001850,12
42003001860,12
42003001870,12
42003001880,12
42003001890,12
42003001901,12
42003000191,12
42003000235,12
42003001921,17
42003001931,17
42003001941,17
42003001960,17
42003001970,17
42003001980,12
42003002043,12
42003002025,12
42003001998,12
42003000201,12
42003002010,12
42003002011,12
42003002022,12
42003001990,12
42003001981,12
42003002032,12
42003002035,12
42003002071,12
42003002090,17
42003003232,17
42003000021,17
42003002100,17
42003000211,12
42003002111,17
42003002131,17
42003002150,17
42003002160,17
42003002170,17
42003002180,17
42125001510,14
42003002190,17
42003002200,17
42003000221,12
42003002211,17
42003002221,17
42003002231,17
42003002240,17
42003000225,12
42003002251,17
42003002261,17
42003002268,17
42003002274,17
42003002280,12
42003002291,12
42003002300,12
42003002305,12
42003000231,12
42003002310,17
42003002321,17
42003002331,17
42003002338,17
42003002344,17
4200300D990,12
42003002350,17
42003002351,17
42003002360,17
42003002352,17
42003002370,17
42003002369,17
42003002362,17
42003002372,17
42003002371,17
42003002381,17
42003002400,12
42003002411,12
42003002421,12
42003002430,12
42003002440,12
42003002470,12
42003002480,17
42003002491,17
42003002501,17
42003002510,17
42003002521,17
42003002541,17
42003002550,17
42003002560,17
42003002571,17
42003002576,17
42003002581,17
42003002586,17
42003002591,17
42003000261,12
42003002620,17
42003002625,17
42003002630,17
42003002631,17
42003002640,17
42003002641,17
42003002650,17
42003002660,17
42003002670,17
42003002680,17
42003002690,17
42003002700,17
42003000271,12
42003002710,17
42003002730,17
42003002740,17
42003002750,17
42003002760,17
42003002770,17
42003002780,17
42003002790,17
42003002801,17
42003000281,12
42003002821,12
42003002830,12
42003002851,12
42003002870,12
42003002881,12
42003002900,12
42003000291,12
42003002910,17
42003002920,17
42003002930,17
42003003580,12
42003002940,17
42003000295,12
42003002950,17
42003002961,17
42003002971,17
42003002981,17
42003003000,12
42003000301,12
42003003010,12
42003003060,12
42003003021,12
42003000305,12
42003003051,12
42003003070,12
42003003080,12
42003003091,17
42003003095,17
42003000031,17
42003000310,17
42003003101,17
42003003120,17
42003003125,17
42003003131,17
42003003135,17
42003003140,17
42003003150,17
42003003151,17
42003003310,17
42003003161,17
42003003181,12
42003003191,12
42003000321,17
42003003210,12
42003003237,17
42003003238,17
42003003236,17
42003003221,17
42003003225,17
42003003240,17
42003003250,17
42003003260,17
42003003270,17
42003003280,17
42003003290,17
42003003300,17
42003000331,17
42003003390,17
42003003320,17
42003003330,17
42003003340,17
42003003350,17
42003003360,17
42003003370,17
42003003380,17
42003003400,17
42003003410,17
42003003420,17
42003003430,17
42003003440,17
42003003450,17
42125001075,14
42003003460,17
42003003471,17
42003003491,17
42003000351,17
42003003511,17
42003003530,17
42003003540,17
42003003551,17
42003003570,12
42003003590,12
42003003600,12
42003000361,17
42003003620,12
42003003630,12
42003003640,12
42003003650,12
42003003670,12
42003003680,12
42003003690,12
42003003730,12
42003000371,17
42003003700,12
42003003710,12
42003003720,12
42003003770,12
42003003780,12
42003003790,12
42003003800,12
42003000381,17
42003003810,12
42003003820,12
42003003840,12
42003003850,12
42003003860,12
42003003870,12
42003003880,12
42003003900,12
42003003910,12
42003003920,12
42003003930,12
42003003940,12
42003003941,12
42003003950,17
4200300E260,17
42003003970,17
42003003975,12
42003003980,17
42003003990,17
42003000400,17
42003004000,17
42003004010,12
