GEOID20,District
42101000311,10
42101003428,10
42101003417,10
42045002020,5
42045003580,5
42045000990,5
42045003570,5
42045003590,5
42045003685,5
42045001600,5
42045003730,5
42045003950,5
42101006020,10
42101006010,10
42101003405,10
42101006016,10
42101006006,10
42101000304,10
42101000412,10
42101004407,10
42101004009,10
42045003491,5
42045003380,5
42045003620,5
42101004605,10
42101005082,10
42101003426,10
42101005128,10
42045003760,5
42045003770,5
42045001530,5
42045001520,5
42045003790,5
42045003455,5
42101004414,10
42101003436,10
42101003429,10
42101000402,10
42101000413,10
42101005118,10
42101006008,10
42101000404,10
42045001000,5
42045003880,5
42101006017,10
42101004611,10
42101004008,10
42101000308,10
42045003800,5
42045003780,5
42045003510,5
42101005123,10
42101000310,10
42101005110,10
42101000317,10
42101003403,10
42101006004,10
42101006014,10
42101000408,10
42101005126,10
42101000403,10
42101004621,10
42101000401,10
42101000314,10
42101004610,10
42101005115,10
42101004005,10
42045003600,5
42045003740,5
42045001610,5
42045003751,5
42045003920,5
42101000316,10
42101003440,10
42101005113,10
42101005102,10
42101006005,10
42101004404,10
42101005114,10
42045003940,5
42101004609,10
42101003409,10
42101000415,10
42101000319,10
42045001590,5
42045003890,5
42045003531,5
42101004603,10
42101005124,10
42101000318,10
42101003438,10
42045003900,5
42101000312,10
42101006003,10
42101000414,10
42101005111,10
42101005121,10
42101005107,10
42101004620,10
42101006012,10
42101006007,10
42101006018,10
42101000320,10
42101006011,10
42101004007,10
42101003416,10
42101005127,10
42101004002,10
42101004604,10
42045003720,5
42101000301,10
42101000419,10
42101006002,10
42101004417,10
42101004614,10
42101004412,10
42101006021,10
42101004416,10
42101004418,10
42101000302,10
42101005106,10
42045003555,5
42101004613,10
42101004612,10
42101004415,10
42101000416,10
42101005122,10
42101000303,10
42101005112,10
42101006013,10
42045003635,5
42101000313,10
42101003401,10
42101005117,10
42101000322,10
42101000409,10
42045003670,5
42101000307,10
42101005101,10
42045003445,5
42045003480,5
42045003910,5
42045003710,5
42101000315,10
42101006022,10
42045001540,5
42101000305,10
42101000407,10
42045001580,5
42101004602,10
42101005125,10
42101005116,10
42101005119,10
42101000321,10
42045003560,5
42045003630,5
42045003660,5
42101004615,10
42101004406,10
42101004411,10
42101006015,10
42101005095,10
42101006019,10
42101003404,10
42101000420,10
42101000306,10
42045003390,5
42101006009,10
42101004413,10
42101004606,10
42101000309,10
42045003640,5
42101003427,10
42101003402,10
42101004403,10
42045003610,5
42101003406,10
42101004028,10
42101004012,10
42101004025,10
42045003200,5
42045000970,5
42045000950,5
42101004006,10
42101004018,10
42101004013,10
42101004035,10
42045000980,5
42101004041,10
42045002730,5
42101004029,10
42045002720,5
42045003930,5
42101004037,10
42101004030,10
42101004020,10
42045000960,5
42101004011,10
42045003870,5
42045000800,9
42101004046,10
42101004001,10
42101004031,10
42101004050,10
42045000810,5
42101004026,10
42101004003,10
42101004027,10
42101004021,10
42101004048,10
42101004014,10
42045000940,5
42045000760,5
42045000740,5
42101004017,10
42101005109,10
42045000750,5
42101004024,10
42101004034,10
42101004032,10
42101004033,10
42101004039,10
42101004047,10
42101004023,10
42101004010,10
42045000820,5
42101004019,10
42045000930,5
42101004051,10
42101004036,10
42101004016,10
42101004022,10
42101004043,10
42101004015,10
42045002740,5
42101005090,10
42101004049,10
42101004042,10
42101005105,10
42101004044,10
42101004004,10
42045000870,5
42101004045,10
42101002704,10
42101005081,10
42101004038,10
42045000860,5
42101004040,10
42101002620,10
42101003937,10
42101004808,10
42101002607,10
42101002602,10
42101002615,10
42101003928,10
42101003901,10
42101004801,10
42101003929,10
42101003941,10
42101003944,10
42101004810,10
42101000107,10
42101003918,10
42101003927,10
42101004819,10
42101003940,10
42101003945,10
42101002621,10
42101004812,10
42101004813,10
42101003942,10
42101003932,10
42101002623,10
42101002608,10
42101003914,10
42101003939,10
42101003930,10
42101002610,10
42101002609,10
42101002604,10
42101004816,10
42101003943,10
42101003910,10
42101002612,10
42101003916,10
42101002617,10
42101003913,10
42101003926,10
42101002622,10
42101003904,10
42101003938,10
42101000105,10
42101003917,10
42101002606,10
42101000104,10
42101003912,10
42101004809,10
42101002601,10
42101003925,10
42101004815,10
42101004821,10
42101004806,10
42101004817,10
42101002605,10
42101002613,10
42101003934,10
42101004814,10
42101000108,10
42101003933,10
42101004820,10
42101003919,10
42101003936,10
42101003931,10
42101003923,10
42101002618,10
42101002603,10
42101002611,10
42101004805,10
42101003902,10
42101002616,10
42101002619,10
42101003935,10
42101003911,10
42101002614,10
42101003629,10
42101004818,10
42101000112,10
42101000109,10
42101003905,10
42101004811,10
42101004807,10
42101000115,10
42101003922,10
42101003915,10
42101003924,10
42101004804,10
42101004802,10
42101003907,10
42101003906,10
42101003946,10
42101003631,10
42101003903,10
42101003908,10
42101000121,10
42101003613,10
42101004803,10
42101004822,10
42101000113,10
42101000102,10
42101003611,10
42101003909,10
42101000106,10
42101000114,10
42101003920,10
42101000205,10
42101000201,10
42101000208,10
42101000120,10
42101000202,10
42101000207,10
42101003615,10
42101003608,10
42101000203,10
42101003610,10
42101003605,10
42101000116,10
42101000117,10
42101003609,10
42101000204,10
42101000110,10
42101000118,10
42101003616,10
42101000233,10
42101003634,10
42101000101,10
42101003637,10
42101000206,10
42101003602,10
42101003641,10
42101003603,10
42101003921,10
42101003639,10
42101003640,10
42101003635,10
42101003638,10
42101003612,10
42101003607,10
42101003636,10
42101000214,10
42101000211,10
42101000103,10
42101003617,10
42101003601,10
42101000228,10
42101003606,10
42101000119,10
42101000111,10
42101000212,10
42101003618,10
42101003604,10
42101000213,10
42101003005,10
42101003010,10
42101000828,10
42101000502,10
42101003015,10
42101000812,10
42101003625,10
42101003007,10
42101003632,10
42101000568,10
42101000803,10
42101000506,10
42101001069,10
42101003016,10
42101003623,10
42101003009,10
42101000518,10
42101000231,10
42101003011,10
42101000221,10
42101003013,10
42101000210,10
42101000802,10
42101000230,10
42101003012,10
42101000219,10
42101000504,10
42101000229,10
42101000575,10
42101000577,10
42101003001,10
42101000511,10
42101001088,10
42101001068,10
42101000809,10
42101000218,10
42101000220,10
42101000209,10
42101003620,10
42101000576,10
42101000806,10
42101000519,10
42101000804,10
42101000801,10
42101000223,10
42101000571,10
42101002719,10
42101000841,10
42101000217,10
42101003002,10
42101000224,10
42101003008,10
42101003003,10
42101000508,10
42101000222,10
42101003017,10
42101003624,10
42101001057,10
42101003614,10
42101000234,10
42101000813,10
42101000505,10
42101000811,10
42101000827,10
42101003004,10
42101000232,10
42101000831,10
42101003014,10
42101000503,10
42101003622,10
42101000514,10
42101000840,10
42101000507,10
42101000570,10
42101003621,10
42101000810,10
42101000572,10
42101000808,10
42101000832,10
42101003006,10
42101000522,10
42101000834,10
42101003619,10
42101000821,10
42101003628,10
42101003626,10
42101000833,10
42101000573,10
42101003630,10
42101000574,10
42101002709,10
42101002716,10
42101002703,10
42101000807,10
42101004823,10
42101002707,10
42101003633,10
42101002708,10
42101002718,10
42101002701,10
42101002705,10
42101003627,10
42101000839,10
42101000818,10
42101000816,10
42101002722,10
42101002721,10
42101002720,10
42101000606,10
42101002717,10
42101004408,10
42101004617,10
42101006023,10
42101002712,10
42101002407,10
42101004409,10
42101002706,10
42101004623,10
42101004618,10
42101002723,10
42101002401,10
42101002408,10
42101002711,10
42101002406,10
42101000608,10
42101006001,10
42101002405,10
42101004622,10
42101002713,10
42101004608,10
42101000605,10
42101002404,10
42101002419,10
42101002412,10
42101002403,10
42101000602,10
42101000607,10
42101004619,10
42101002702,10
42101004601,10
42101004616,10
42101000603,10
42101002710,10
42101002402,10
42101002440,10
42101000601,10
42101002411,10
42101000604,10
42101004607,10
42101002714,10
42101002418,10
42101002715,10
42101002413,10
42101002417,10
42101000610,10
42101004410,10
42101000611,10
42101002416,10
42101002414,10
42101002415,10
42101000612,10
42101000616,10
42101000609,10
42101005201,10
42101000613,10
42101003410,10
42101000614,10
42101004401,10
42101003420,10
42101000417,10
42101000618,10
42101000410,10
42101003413,10
42101000617,10
